Date,School,Scholars
01/02/2018,UB,46
01/02/2018,LCC,320
01/02/2018,STI,71
01/02/2018,BCAS,12
01/02/2018,LPU - LAGUNA,4
01/02/2018,LPU - BATS,43
01/02/2018,LPU - ST. CARBINI,0
01/02/2018,NU LIPA,0
01/02/2018,RBC,53
01/02/2018,FAITH,26
01/10/2018,UB,40
01/10/2018,LCC,310
01/10/2018,STI,68
01/10/2018,BCAS,9
01/10/2018,LPU - BATS,40
01/10/2018,LPU - LAGUNA,4
01/10/2018,LPU - ST. CARBINI,0
01/10/2018,NU LIPA,0
01/10/2018,RBC,50
01/10/2018,FAITH,20
01/02/2019,UB,532
01/02/2019,LCC,561
01/02/2019,STI,79
01/02/2019,BCAS,21
01/02/2019,LPU - BATS,115
01/02/2019,LPU - LAGUNA,4
01/02/2019,LPU - ST. CARBINI,0
01/02/2019,NU LIPA,0
01/02/2019,RBC,63
01/02/2019,FAITH,12
01/10/2019,UB,46
01/10/2019,LCC,385
01/10/2019,STI,73
01/10/2019,BCAS,12
01/10/2019,LPU - BATS,41
01/10/2019,LPU - LAGUNA,4
01/10/2019,LPU - ST. CARBINI,0
01/10/2019,NU LIPA,0
01/10/2019,RBC,51
01/10/2019,FAITH,33
01/02/2020,UB,50
01/02/2020,LCC,326
01/02/2020,STI,62
01/02/2020,BCAS,13
01/02/2020,LPU - BATS,46
01/02/2020,LPU - LAGUNA,4
01/02/2020,LPU - ST. CARBINI,0
01/02/2020,NU LIPA,0
01/02/2020,RBC,50
01/02/2020,FAITH,27
01/10/2020,UB,90
01/10/2020,LCC,604
01/10/2020,STI,96
01/10/2020,BCAS,16
01/10/2020,LPU - BATS,44
01/10/2020,LPU - LAGUNA,5
01/10/2020,LPU - ST. CARBINI,0
01/10/2020,NU LIPA,0
01/10/2020,RBC,75
01/10/2020,FAITH,58
01/02/2021,UB,88
01/02/2021,LCC,571
01/02/2021,STI,95
01/02/2021,BCAS,15
01/02/2021,LPU - BATS,46
01/02/2021,LPU - LAGUNA,4
01/02/2021,LPU - ST. CARBINI,0
01/02/2021,NU LIPA,0
01/02/2021,RBC,72
01/02/2021,FAITH,58
01/10/2021,UB,89
01/10/2021,LCC,887
01/10/2021,STI,90
01/10/2021,BCAS,17
01/10/2021,LPU - BATS,48
01/10/2021,LPU - LAGUNA,10
01/10/2021,LPU - ST. CARBINI,0
01/10/2021,NU LIPA,0
01/10/2021,RBC,101
01/10/2021,FAITH,77
01/02/2022,UB,91
01/02/2022,LCC,833
01/02/2022,STI,61
01/02/2022,BCAS,17
01/02/2022,LPU - BATS,45
01/02/2022,LPU - LAGUNA,10
01/02/2022,LPU - ST. CARBINI,0
01/02/2022,NU LIPA,0
01/02/2022,RBC,96
01/02/2022,FAITH,78
01/10/2022,UB,49
01/10/2022,LCC,992
01/10/2022,STI,97
01/10/2022,BCAS,12
01/10/2022,LPU - BATS,48
01/10/2022,LPU - LAGUNA,11
01/10/2022,LPU - ST. CARBINI,8
01/10/2022,NU LIPA,21
01/10/2022,RBC,129
01/10/2022,FAITH,91
01/02/2023,UB,49
01/02/2023,LCC,963
01/02/2023,STI,82
01/02/2023,BCAS,12
01/02/2023,LPU - BATS,46
01/02/2023,LPU - LAGUNA,7
01/02/2023,LPU - ST. CARBINI,4
01/02/2023,NU LIPA,22
01/02/2023,RBC,122
01/02/2023,FAITH,89
01/10/2023,UB,98
01/10/2023,LCC,990
01/10/2023,STI,90
01/10/2023,BCAS,10
01/10/2023,LPU - BATS,48
01/10/2023,LPU - LAGUNA,2
01/10/2023,LPU - ST. CARBINI,2
01/10/2023,NU LIPA,42
01/10/2023,RBC,242
01/10/2023,FAITH,80
01/02/2024,UB,90
01/02/2024,LCC,931
01/02/2024,STI,70
01/02/2024,BCAS,14
01/02/2024,LPU - BATS,45
01/02/2024,LPU - LAGUNA,3
01/02/2024,LPU - ST. CARBINI,4
01/02/2024,NU LIPA,33
01/02/2024,RBC,192
01/02/2024,FAITH,82
